
###############################################################################
###############################################################################

# [[Sample Characteristics]] 
# crystal symmetry:                       hexagonal           
# sample dimensions (mm) (x,y,z):         [0.869 1.01  1.193] 
# mass (mg):                              7.684976435144674   
# highest order basis polynomial:         16                  
# resonance frequencies calculated with:  RUS_RPR             

###############################################################################
###############################################################################

#Fit Statistics-----------------------------------------------------------------
	# fitting method     	= differential_evolution
	# data points        	= 75
	# variables          	= 5
	# fit success        	= True
	# function evals     	= 2775
	# fit duration       	= 469.65 seconds
	# chi-square         	= 0.00883327
	# reduced chi-square 	= 0.00012619

###############################################################################
###############################################################################

#Variables----------------------------------------------------------------------
	# c11 : 131.335 GPa (init = [[110, 160], GPa])
	# c12 : 45.594 GPa (init = [[15, 65], GPa])
	# c13 : 6.320 GPa (init = [[-10, 40], GPa])
	# c33 : 198.287 GPa (init = [[170, 220], GPa])
	# c44 : 48.470 GPa (init = [[20, 70], GPa])
#Fixed values-------------------------------------------------------------------
	# angle_x : 0.00000000 deg
	# angle_y : 0.00000000 deg
	# angle_z : 0.00000000 deg

###############################################################################
###############################################################################

#index  f exp(MHz)   f calc(MHz)  diff (%)     weight  
#-------------------------------------------------------------------------------
0       0.963767     0.956973     0.705        1.0     
1       1.308231     1.317169     0.683        1.0     
2       1.468002     1.470887     0.197        1.0     
3       1.509136     1.512117     0.198        1.0     
4       1.5637       1.555883     0.5          1.0     
5       1.579087     1.575596     0.221        1.0     
6       1.584498     1.602869     1.159        1.0     
7       1.601453     1.612086     0.664        1.0     
8       1.603796     1.616968     0.821        1.0     
9       1.784616     1.799508     0.834        1.0     
10      1.820979     1.814738     0.343        1.0     
11      1.873489     1.869808     0.196        1.0     
12      1.939671     1.934274     0.278        1.0     
13      1.951077     1.957489     0.329        1.0     
14      2.03256      2.026954     0.276        1.0     
15      2.094492     2.086139     0.399        1.0     
16      2.10616      2.116699     0.5          1.0     
17      2.144155     2.125144     0.887        1.0     
18      2.161859     2.172072     0.472        1.0     
19      2.165623     2.174113     0.392        1.0     
20      2.252531     2.264687     0.54         1.0     
21      2.32324      2.310111     0.565        1.0     
22      2.365134     2.353336     0.499        1.0     
23      2.381652     2.394638     0.545        1.0     
24      2.433657     2.418504     0.623        1.0     
25      2.462299     2.477102     0.601        1.0     
26      2.470756     2.482857     0.49         1.0     
27      2.524143     2.55391      1.179        1.0     
28      2.552684     2.57055      0.7          1.0     
29      2.576331     2.592325     0.621        1.0     
30      2.614329     2.624237     0.379        1.0     
31      2.65374      2.644624     0.344        1.0     
32      2.720249     2.722228     0.073        1.0     
33      2.752318     2.746575     0.209        1.0     
34      2.781013     2.777996     0.109        1.0     
35      2.843133     2.844822     0.059        1.0     
36      2.86225      2.872334     0.352        1.0     
37      2.910748     2.888274     0.772        1.0     
38      2.927387     2.922895     0.153        1.0     
39      2.934877     2.924278     0.361        1.0     
40      2.93911      2.933028     0.207        1.0     
41      2.94653      2.937901     0.293        1.0     
42      3.044538     3.056552     0.395        1.0     
43      3.105507     3.096725     0.283        1.0     
44      3.128728     3.129521     0.025        1.0     
45      3.190342     3.181249     0.285        1.0     
46      3.212029     3.215034     0.094        1.0     
47      3.287552     3.288279     0.022        1.0     
48      3.309903     3.297962     0.361        1.0     
49      3.31246      3.323098     0.321        1.0     
50      3.359531     3.375306     0.47         1.0     
51      3.38296      3.386052     0.091        1.0     
52      3.442215     3.455041     0.373        1.0     
53      3.471147     3.457232     0.401        1.0     
54      3.490856     3.495343     0.129        1.0     
55      3.495795     3.504276     0.243        1.0     
56      3.499368     3.509315     0.284        1.0     
57      3.54568      3.534796     0.307        1.0     
58      0.0          3.570091     0.0          0.0     
59      3.580265     3.574763     0.154        1.0     
60      3.59204      3.597223     0.144        1.0     
61      3.603417     3.603327     0.003        1.0     
62      3.608084     3.608723     0.018        1.0     
63      0.0          3.613225     0.0          0.0     
64      3.617348     3.614405     0.081        1.0     
65      3.619305     3.621406     0.058        1.0     
66      3.646507     3.648082     0.043        1.0     
67      3.664599     3.651232     0.365        1.0     
68      3.711872     3.699746     0.327        1.0     
69      3.717142     3.724731     0.204        1.0     
70      3.786342     3.797336     0.29         1.0     
71      3.813535     3.80366      0.259        1.0     
72      3.839044     3.823198     0.413        1.0     
73      3.870405     3.850502     0.514        1.0     
74      3.915359     3.916947     0.041        1.0     
75      3.944816     3.927173     0.447        1.0     
76      3.974575     3.975602     0.026        1.0     
77      0.0          4.008266     0.0          0.0     
78      0.0          4.008535     0.0          0.0     
79      0.0          4.026407     0.0          0.0     
80      0.0          4.059658     0.0          0.0     
81      0.0          4.09545      0.0          0.0     
82      0.0          4.097744     0.0          0.0     
83      0.0          4.126517     0.0          0.0     
84      0.0          4.127905     0.0          0.0     
85      0.0          4.14051      0.0          0.0     
86      0.0          4.188374     0.0          0.0     
87      0.0          4.228497     0.0          0.0     
88      0.0          4.234975     0.0          0.0     
89      0.0          4.247975     0.0          0.0     
#-------------------------------------------------------------------------------
# RMS = 0.443 %
#-------------------------------------------------------------------------------
